,Unnamed: 0.1,Unnamed: 0,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,zestimate,zipcode,zpid
0,0.0,0.0,4.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2226072cc58f67a95aea51050ea302d8-p_e.jpg,False,True,False,False,False,False,39.724728,{'is_comingSoon': True},2202.0,-104.95914,sqft,3629.0,1500000.0,1500000.0,3170.0,False,CO,530 University Boulevard,726200.0,1031000.0,80206,13328411
1,1.0,1.0,,,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/f424aee68253c48e6cbe174995f17deb-p_e.jpg,False,True,False,False,False,False,39.726303,{'is_comingSoon': True},,-104.94029,sqft,6250.0,600000.0,600000.0,2945.0,False,CO,634 Colorado Boulevard,522900.0,688900.0,80220,13393598
2,2.0,2.0,3.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/40a68db690b1ebe4b407ec2e1adc123e-p_e.jpg,False,True,False,False,False,False,39.64863,{'is_comingSoon': True},2659.0,-105.055405,acres,0.2804178145087236,725000.0,725000.0,2429.0,False,CO,3781 S Benton Way,444900.0,455700.0,80235,13429540
3,3.0,3.0,5.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6744926df52c5251b2efd02671e15062-p_e.jpg,False,True,False,False,False,False,39.770897,"{'is_comingSoon': True, 'is_openHouse': True}",3991.0,-105.013214,sqft,6250.0,1800000.0,1800000.0,7454.0,False,CO,3926 Vallejo Street,621200.0,1395200.0,80211,13299830
4,4.0,4.0,,,Denver,USA,USD,0,FOR_SALE,FOR_SALE,MULTI_FAMILY,https://photos.zillowstatic.com/fp/b604a626d72143e318c36b675e1599d4-p_e.jpg,False,True,False,False,False,False,39.73656,{'is_FSBA': True},2867.0,-104.96313,sqft,3125.0,1025000.0,1025000.0,,False,CO,1280 N Race,,,80206,2059749246
5,5.0,5.0,5.0,6.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bf88d0b12c93852af11ae6a9fb378deb-p_e.jpg,False,True,False,False,False,False,39.66545,{'is_FSBA': True},3838.0,-104.963524,sqft,8712.0,1500000.0,1500000.0,3746.0,False,CO,2832 S Race Street,712500.0,1474576.0,80210,13386878
6,6.0,6.0,3.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2a10bd2c68f5e14e3e2c1d41f3ab5312-p_e.jpg,False,True,False,False,False,False,39.769943,"{'is_comingSoon': True, 'is_openHouse': True}",2292.0,-105.02126,sqft,4905.0,1200000.0,1200000.0,3405.0,False,CO,2730 W Denver Place,216300.0,870300.0,80211,337912295
7,7.0,7.0,6.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/80624ff1ac48f33057aa2bfece995c2c-p_e.jpg,False,True,False,False,False,False,39.748425,"{'is_comingSoon': True, 'is_openHouse': True}",4162.0,-105.03962,sqft,6330.0,2295000.0,2295000.0,2270.0,False,CO,2051 Perry Street,600500.0,667200.0,80212,13315261
8,8.0,8.0,3.0,4.0,Denver,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/705e7ab17166776a8e36bf7fb1bb31c3-p_e.jpg,False,True,False,False,False,False,39.81795,{'is_FSBA': True},2866.0,-104.76865,sqft,4061.0,609780.0,609780.0,,False,CO,18932 High Point Boulevard,38200.0,,80249,337663911
9,9.0,9.0,2.0,2.0,Denver,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/109041faa314aff52be58aa34fe44084-p_e.jpg,False,True,False,False,False,False,39.704426,{'is_FSBA': True},1200.0,-104.879654,,,325900.0,325900.0,1996.0,False,CO,675 S Alton Way UNIT 9B,182200.0,321244.0,80247,13400630
