"bathrooms","bedrooms","latitude","livingArea","longitude","priceForHDP","taxAssessedValue","zipcode","priceinmil","lotArea"
3,3,38.37825,3468,-75.67635,345000,232700,21830,0.345,31.525
3.5,4,44.935318,4210,-85.176865,795000,626400,49615,0.795,65.34
5,5,35.487743,4396,-81.00533,565000,405481,28037,0.565,10.4544
3,3,41.144436,2100,-95.90435,230000,199704,68005,0.23,9.1476
2,2,34.917778,1393,-80.850655,394750,252900,29707,0.39475,3.78972
2,4,44.165066,2742,-88.44777,339900,219000,54956,0.3399,10.89
1,2,33.948578,880,-118.26663,349000,165639,90003,0.349,5.09652
1,2,47.552357,952,-116.305145,149000,17799,83810,0.149,22.2156
3,3,61.54102,2480,-149.03001,299900,184200,99645,0.2999,64.9044
3,4,35.36134,2930,-94.344475,369900,207350,72903,0.3699,13.298868
1,1,39.73387,687,-104.93872,219900,182600,80220,0.2199,0.687
2,4,37.69543,1872,-97.290016,219900,175900,67208,0.2199,5.6628
2,4,44.69758,2225,-123.075775,625000,453120,97321,0.625,13.068
3,3,35.249702,1781,-106.62206,470000,2661,87048,0.47,43.56
2,3,32.16671,2526,-106.68014,314900,205933,88048,0.3149,43.56
2,4,38.43542,932,-78.88448,124900,57600,22801,0.1249,0
2,3,34.951237,1838,-82.299965,250000,142560,29687,0.25,8.712
4,5,41.998985,3406,-87.6719,650000,618170,60626,0.65,4.133844
2,5,46.78915,2152,-100.78507,278900,220500,58504,0.2789,8.75556
2,3,36.72776,2056,-97.05403,239000,150470,74604,0.239,0.004
2,2,46.85638,1410,-96.885254,279900,190300,58078,0.2799,5.52
4,7,40.009922,5363,-105.21115,2350000,1361600,80303,2.35,16.5528
4,4,41.1373,3135,-96.058876,385000,313383,68046,0.385,10.41084
4,4,39.395317,2430,-77.305405,504900,443200,21774,0.5049,2.35
2,4,41.35132,2484,-104.48039,419000,230060,82009,0.419,1627.8372
2,2,38.016647,900,-78.52148,167500,150800,22903,0.1675,0
4,5,35.03907,3250,-81.1398,619900,282311,29745,0.6199,90.1692
2,4,39.930573,1300,-74.18822,435000,173800,8722,0.435,10.4544
2,3,35.10326,1107,-106.73779,220000,94614,87120,0.22,3.9204
2,3,36.25299,1510,-115.233574,360000,184674,89130,0.36,7.4052
1,2,37.78976,1080,-97.3384,150000,78160,67204,0.15,24.8292
4,4,41.983246,2698,-72.32711,350000,196210,6076,0.35,52.7076
2,3,36.198444,1296,-115.03458,299000,138300,89156,0.299,3.9204
3,4,32.129753,3200,-90.2048,5e+05,304890,39073,0.5,179.0316
2,4,47.11389,2492,-99.07094,375000,173800,58476,0.375,584.5752
2,3,38.464794,1224,-79.05565,269900,152800,22821,0.2699,36.1548
2,4,39.682087,1353,-105.049286,440000,368900,80219,0.44,7.73
1,3,41.66644,1040,-86.1854,135000,90500,46545,0.135,3.9204
2,2,41.58059,1560,-73.044495,270000,86500,6710,0.27,13.5036
2,3,64.75654,1392,-147.3179,274900,211641,99705,0.2749,45.001836
2,3,35.501328,1684,-81.00146,4e+05,210838,28037,0.4,22.52052
1,2,61.13447,1164,-149.91779,262500,206500,99515,0.2625,0
2,5,21.319557,1362,-158.0074,938000,708300,96706,0.938,5.4
1,4,40.431797,1653,-74.17044,389900,354900,7730,0.3899,8.2764
4,4,32.827625,3660,-96.7036,750000,361890,75218,0.75,22.25916
2,4,40.280506,2188,-74.01169,2499000,889700,7764,2.499,38.7684
2,3,40.334305,1345,-74.07962,499000,370300,7724,0.499,8.712
6,5,41.15396,5424,-73.37181,2499000,1197900,6880,2.499,50.094
3,3,36.470814,1612,-82.27997,285000,154000,37618,0.285,23.958
2,3,33.920715,1597,-83.74768,375000,177539,30620,0.375,34.442892
3,4,21.3854,1904,-157.73354,1699990,1324700,96734,1.69999,7.718
2,2,26.10709,1585,-80.15061,550000,323440,33315,0.55,8.36
4,6,44.245415,5022,-105.562035,998000,638339,82718,0.998,424.2744
6,10,40.014957,3336,-105.26493,2799700,1347600,80302,2.7997,5.2272
6,5,42.280365,5514,-73.42648,2900000,1540000,1266,2.9,690.731
