"bathrooms","bedrooms","city","country","currency","latitude","livingArea","longitude","lotAreaUnit","priceForHDP","rentZestimate","state","streetAddress","taxAssessedValue","zestimate","zipcode","priceinmil","lotArea","range_1"
4,4,"Denver","USA","USD",39.724728,2202,-104.95914,"sqft",1500000,3170,"CO","530 University Boulevard",726200,1031000,80206,1.5,3.629,"High"
3,4,"Denver","USA","USD",39.64863,2659,-105.055405,"sqft",725000,2429,"CO","3781 S Benton Way",444900,455700,80235,0.725,12.215,"Medium"
5,4,"Denver","USA","USD",39.770897,3991,-105.013214,"sqft",1800000,7454,"CO","3926 Vallejo Street",621200,1395200,80211,1.8,6.25,"High"
5,6,"Denver","USA","USD",39.66545,3838,-104.963524,"sqft",1500000,3746,"CO","2832 S Race Street",712500,1474576,80210,1.5,8.712,"High"
3,4,"Denver","USA","USD",39.769943,2292,-105.02126,"sqft",1200000,3405,"CO","2730 W Denver Place",216300,870300,80211,1.2,4.905,"High"
6,4,"Denver","USA","USD",39.748425,4162,-105.03962,"sqft",2295000,2270,"CO","2051 Perry Street",600500,667200,80212,2.295,6.33,"Medium"
3,4,"Denver","USA","USD",39.670567,2468,-104.91253,"sqft",670000,3214,"CO","6500 E Harvard Avenue",493800,669300,80224,0.67,9.63,"Medium"
6,5,"Denver","USA","USD",39.697674,5177,-104.943886,"sqft",2850000,10639,"CO","1036 S Garfield Street",563900,2794117,80209,2.85,6.25,"High"
1,2,"Denver","USA","USD",39.7216,616,-105.04413,"sqft",385000,1794,"CO","315 Tennyson Street",306700,379991,80219,0.385,3.9204,"Low"
3,4,"Denver","USA","USD",39.677452,2420,-104.97844,"sqft",985000,3752,"CO","2157 S Clarkson Street",693700,985000,80210,0.985,5.32,"High"
4,4,"Denver","USA","USD",39.730225,3688,-104.90308,"sqft",899000,3639,"CO","7303 E 8th Place",718600,877604,80230,0.899,5.2272,"High"
1,3,"Denver","USA","USD",39.736103,1876,-104.97839,"sqft",575000,2499,"CO","1242 N Washington Street",481800,563500,80203,0.575,2.64,"Medium"
